Auction Number,Title,Time Remaining,Current Price
2555825,Lot of Staging Platforms,05042020 09:36,305.0
2555821,"2 x SICO 1800 Portable ADA Stage Ramps 0"" to 48"" height w/railings",13042020 09:36,21.5
2548189,Fiber Optic Light Illuminator,30042020 09:36,10.0
2549008,Lot of Zeiss Stereoscope,30042020 09:36,27.0
2549031,Lot of Stereoscopes,30042020 09:36,31.0
2549091,Lot of GPS and Related Equipment,30042020 09:36,135.5
2549099,Gurley Survey Stick,30042020 09:36,11.5
2549727,Lot of Total Stations,30042020 09:36,102.51
2549793,Lot of Miscellaneous GPS/Surveying Equipment,30042020 09:36,12.5
2551142,DC Power Supply,30042020 09:36,10.0
2551173,Leica Total Station,30042020 09:36,152.5
2551186,Sokkisha Theodolite TS20A Leitz Transit Survey,30042020 09:36,56.0
2551187,Leica Total Station,30042020 09:36,202.5
2551201,Leica Total Station,30042020 09:36,127.5
2551207,Sokkisha Theodolite TS20A Leitz Transit Survey,30042020 09:36,51.01
2551210,Windows CE Total Station,30042020 09:36,41.0
2551214,Sokkisha Theodolite TS20A Leitz Transit Survey,30042020 09:36,50.01
2551218,Leica Total Station,30042020 09:36,152.5
2551221,Sokkisha Theodolite TS20A Leitz Transit Survey,30042020 09:36,51.01
2551228,Leica Total Station,30042020 09:36,152.5
2551237,Sokkisha Theodolite TS20A Leitz Transit Survey,30042020 09:36,51.01
2551246,Leica Total Station,30042020 09:36,182.5
2551247,Sokkisha Theodolite TS20A Leitz Transit Survey,30042020 09:36,50.01
2551254,Apple Powerbook,30042020 09:36,10.5
2551272,Lot of MacBook Pros,30042020 09:36,203.5
2551288,Lot of MacBook Pros,30042020 09:36,187.5
2551299,Lot of MacBook Pros,30042020 09:36,192.5
2551312,Lot of MacBook Pros,30042020 09:36,135.5
2551337,"Lot of MacBook Pros 15.4""",30042020 09:36,117.5
2551347,"MacBook Pro 15.4""",30042020 09:36,107.51
2551366,Lot of Pipe Hangers,30042020 09:36,10.0
2551373,Lot of Dell Optiplex,30042020 09:36,11.0
2552576,"27"" iMac",30042020 09:36,53.0
2552586,"21.5"" iMac",30042020 09:36,20.5
2552587,"21.5"" iMac",30042020 09:36,20.5
2552598,"21.5"" iMac",30042020 09:36,41.0
2552601,"21.5"" iMac",30042020 09:36,10.5
2552606,"21.5"" iMac",30042020 09:36,10.0
2552607,"21.5"" iMac",30042020 09:36,41.0
2552608,"21.5"" iMac",30042020 09:36,10.5
2552613,"27"" iMac",30042020 09:36,102.51
2552614,"27"" iMac",30042020 09:36,83.0
2552625,"27"" iMac",30042020 09:36,102.51
2552626,"27"" iMac",30042020 09:36,91.0
2552628,"27"" iMac",30042020 09:36,66.0
2552732,"21.5"" iMac",30042020 09:36,10.0
2552733,"27"" iMac",30042020 09:36,102.5
2552734,"21.5"" iMac",30042020 09:36,41.0
2552735,"20"" iMac",30042020 09:36,10.0
2552737,"20"" iMac",30042020 09:36,10.0
